date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,gift wrap credits tax,Regulatory fee,Tax on regulatory fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
31.12.2025 23:05:04 UTC,26153128782,Bestellung,305-1194184-0133163,KM30-F,PURPLEBIRD Klappmesser aus rostfreiem Qualit?tsstahl mit Carbonfaser-Griff.Sicherheitsverriegelung.Rutschfester Griff.Flach & kompakt f¨¹r Camping &,2,amazon.de,Amazon,Hardebek,,24616,MarketplaceFacilitator,28.22,5.36,0,0,0,0,0,0,-5.36,-4.36,-6.08,0,0,17.78,0,0
31.12.2025 23:18:28 UTC,26153128782,Bestellung,028-7687563-4317128,CZ002-XXL,PURPLEBIRD Grillspachtel Set aus Edelstahl. Plancha Spachtels Set mit Gro? Grillwender f¨¹r Smash Burger. Grill Geschenke f¨¹r M?nner,1,amazon.de,Amazon,6232 M¨¹nster,,6232,MarketplaceFacilitator,17.24,3.45,0,0,0,0,0,0,-3.45,-3.08,-4.08,0,0,10.08,0,0
31.12.2025 23:23:50 UTC,26153128782,Bestellung,305-4122854-0173120,CZ003-Wood,PURPLEBIRD Burgerpresse. 10.8cm Aluguss Burger Pattie Presse mit Antihaft. 3 Stufen der Dicke einstellbar. Professioneller Hamburgerpresse mit Holzgri,1,amazon.de,Amazon,Monzingen,Rheinland-Pfalz,55569,MarketplaceFacilitator,19.99,3.8,0,0,0,0,0,0,-3.8,-3.57,-3.84,0,0,12.58,0,0
31.12.2025 23:46:28 UTC,26153128782,Bestellung,305-2974978-5745934,HWD02-ZNO,PURPLEBIRD Outdoor Messer. Jagdmesser Feststehende Klinge. 440C Edelstahl Bushcraft Camping Messer. Full Tang Scharfe Survival Messer mit Holster (24c,1,amazon.de,Amazon,Illingen,,66557,MarketplaceFacilitator,23.56,4.48,0,0,0,0,0,0,-8.96,-7.3,-3.04,0,0,8.74,0,0
31.12.2025 23:46:28 UTC,26153128782,Bestellung,305-2974978-5745934,HWD02-ZNO,PURPLEBIRD Outdoor Messer. Jagdmesser Feststehende Klinge. 440C Edelstahl Bushcraft Camping Messer. Full Tang Scharfe Survival Messer mit Holster (24c,1,amazon.de,Amazon,Illingen,,66557,,23.56,4.48,0,0,0,0,0,0,0,0,-3.04,0,0,25,0,0
31.12.2025 23:48:47 UTC,26153128782,Bestellung,305-8800678-5609156,PB-OK-02,PURPLEBIRD Survival Messer Feststehende Klinge Scharfes G¨¹rtelmesser mit Lederscheide. Camping Messer Outdoor Geschenk f¨¹r Mann und Sammlung,1,amazon.de,Amazon,Reichshof,,51580,MarketplaceFacilitator,32.85,6.24,0,0,0,0,0,0,-6.24,-5.08,-5.27,0,0,22.5,0,0
01.01.2026 01:54:49 UTC,26153128782,Erstattung,306-3838029-7868302,KF014-OutdoorA,PURPLEBIRD Jagdmesser Feststehende Klinge Scharfes. Messer Outdoor Survival mit Lederscheide. D2 Stahl G¨¹rtelmesser & Camping Messer Outdoor Geschenk,1,amazon.de,Amazon,Jessen (elster),,06917,MarketplaceFacilitator,-28.56,-5.43,0,0,0,0,0,0,5.43,3.54,0,0,0,-25.02,0,0
01.01.2026 16:27:25 UTC,26153128782,Erstattung,028-6705983-9819527,HWD02-ZNO,PURPLEBIRD Outdoor Messer-Jagdmesser Feststehende klinge.Bushcraft Camping Messer.Scharfe Survival Messer mit Holster Full Tang G¨¹rtelmesser (24cm Kl,1,amazon.de,Amazon,Traunwalchen,,83374,MarketplaceFacilitator,-27.72,-5.27,0,0,0,0,0,0,5.27,3.43,0,0,0,-24.29,0,0
02.01.2026 02:56:34 UTC,26153128782,Servicegeb¨¹hr,,,Werbekosten,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-273.02,0,-273.02,0,0
02.01.2026 03:47:46 UTC,26153128782,Geb¨¹hren von Amazon,17daf7a7-6e3e-47e2-894c-ff268feaf96c,,Coupon-Teilnahmegeb¨¹hr,,Amazon.de,,,,,,0,0,0,0,0,0,0,0,0,-4,0,0,0,-4,0,0
02.01.2026 09:03:38 UTC,26153128782,Liquidationen,80576314527552,X002FL7DV9,PURPLEBIRD Jagdmesser Feststehende Klinge Scharfes. Messer Outdoor Survival mit Lederscheide. D2 Stahl G¨¹rtelmesser & Camping Messer Outdoor Geschenk f¨¹r Jagd. Wandern und Angeln,1,,,,,,,1.49,0,0,0,0,0,0,0,0,0,0,-0.56,0,0.93,0,0
